"ID"	"State"	"InitialState"
"TCGA.A6.6651.01A"	"S01"	"IS07"
"TCGA.A6.6781.01A"	"S01"	"IS07"
"TCGA.AA.3811.01A"	"S01"	"IS07"
"TCGA.AA.A010.01A"	"S01"	"IS07"
"TCGA.AG.4008.01A"	"S01"	"IS07"
"TCGA.AG.A036.01A"	"S01"	"IS07"
"TCGA.AY.6197.01A"	"S01"	"IS07"
"TCGA.AZ.6607.01A"	"S01"	"IS07"
"TCGA.DY.A1DE.01A"	"S01"	"IS07"
"TCGA.EI.6513.01A"	"S01"	"IS07"
"TCGA.F4.6704.01A"	"S01"	"IS07"
"TCGA.NH.A8F8.01A"	"S01"	"IS07"
"TCGA.5M.AAT6.01A"	"S02"	"IS09"
"TCGA.A6.2672.01A"	"S02"	"IS09"
"TCGA.A6.2676.01A"	"S02"	"IS09"
"TCGA.A6.2679.01A"	"S02"	"IS09"
"TCGA.A6.2684.01A"	"S02"	"IS09"
"TCGA.A6.2685.01A"	"S02"	"IS09"
"TCGA.A6.2686.01A"	"S02"	"IS09"
"TCGA.A6.3808.01A"	"S02"	"IS09"
"TCGA.A6.4105.01A"	"S02"	"IS09"
"TCGA.A6.4107.01A"	"S02"	"IS09"
"TCGA.A6.6138.01A"	"S02"	"IS09"
"TCGA.AA.3489.01A"	"S02"	"IS09"
"TCGA.AA.3495.01A"	"S02"	"IS09"
"TCGA.AA.3506.01A"	"S02"	"IS09"
"TCGA.AA.3510.01A"	"S02"	"IS09"
"TCGA.AA.3518.01A"	"S02"	"IS09"
"TCGA.AA.3519.01A"	"S02"	"IS09"
"TCGA.AA.3524.01A"	"S02"	"IS09"
"TCGA.AA.3526.01A"	"S02"	"IS09"
"TCGA.AA.3532.01A"	"S02"	"IS09"
"TCGA.AA.3543.01A"	"S02"	"IS09"
"TCGA.AA.3548.01A"	"S02"	"IS09"
"TCGA.AA.3552.01A"	"S02"	"IS09"
"TCGA.AA.3553.01A"	"S02"	"IS09"
"TCGA.AA.3660.01A"	"S02"	"IS09"
"TCGA.AA.3666.01A"	"S02"	"IS09"
"TCGA.AA.3685.01A"	"S02"	"IS09"
"TCGA.AA.3697.01A"	"S02"	"IS09"
"TCGA.AA.3710.01A"	"S02"	"IS09"
"TCGA.AA.3715.01A"	"S02"	"IS09"
"TCGA.AA.3831.01A"	"S02"	"IS09"
"TCGA.AA.3833.01A"	"S02"	"IS09"
"TCGA.AA.3837.01A"	"S02"	"IS09"
"TCGA.AA.3851.01A"	"S02"	"IS09"
"TCGA.AA.3855.01A"	"S02"	"IS09"
