"ID"	"State"	"InitialState"
"TCGA.AA.3986.01A"	"S10"	"IS05"
"TCGA.AA.A00D.01A"	"S10"	"IS05"
"TCGA.AD.6899.01A"	"S10"	"IS05"
"TCGA.AF.2690.01A"	"S10"	"IS05"
"TCGA.AG.3731.01A"	"S10"	"IS05"
"TCGA.AG.4022.01A"	"S10"	"IS05"
"TCGA.AH.6547.01A"	"S10"	"IS05"
"TCGA.AU.3779.01A"	"S10"	"IS05"
"TCGA.AY.6196.01A"	"S10"	"IS05"
"TCGA.AZ.6605.01A"	"S10"	"IS05"
"TCGA.CA.5796.01A"	"S10"	"IS05"
"TCGA.CA.6717.01A"	"S10"	"IS05"
"TCGA.CM.5348.01A"	"S10"	"IS05"
"TCGA.CM.6163.01A"	"S10"	"IS05"
"TCGA.CM.6168.01A"	"S10"	"IS05"
"TCGA.CM.6169.01A"	"S10"	"IS05"
"TCGA.D5.5539.01A"	"S10"	"IS05"
"TCGA.D5.6529.01A"	"S10"	"IS05"
"TCGA.D5.6534.01A"	"S10"	"IS05"
"TCGA.D5.6924.01A"	"S10"	"IS05"
"TCGA.D5.6928.01A"	"S10"	"IS05"
"TCGA.D5.6931.01A"	"S10"	"IS05"
"TCGA.DY.A1DE.01A"	"S10"	"IS05"
"TCGA.EI.6510.01A"	"S10"	"IS05"
"TCGA.EI.6884.01A"	"S10"	"IS05"
"TCGA.F4.6805.01A"	"S10"	"IS05"
"TCGA.F4.6807.01A"	"S10"	"IS05"
"TCGA.F5.6465.01A"	"S10"	"IS05"
"TCGA.F5.6571.01A"	"S10"	"IS05"
"TCGA.G4.6295.01A"	"S10"	"IS05"
"TCGA.G4.6303.01A"	"S10"	"IS05"
"TCGA.G4.6625.01A"	"S10"	"IS05"
"TCGA.G4.6627.01A"	"S10"	"IS05"
"TCGA.A6.3808.01A"	"S11"	"IS09"
"TCGA.A6.A565.01A"	"S11"	"IS09"
"TCGA.AA.3869.01A"	"S11"	"IS09"
"TCGA.AF.3400.01A"	"S11"	"IS09"
"TCGA.EI.7004.01A"	"S11"	"IS09"
"TCGA.4N.A93T.01A"	"S12"	"IS10"
"TCGA.A6.5659.01A"	"S12"	"IS10"
"TCGA.A6.5660.01A"	"S12"	"IS10"
"TCGA.A6.5661.01A"	"S12"	"IS10"
"TCGA.A6.5662.01A"	"S12"	"IS10"
"TCGA.A6.5667.01A"	"S12"	"IS10"
"TCGA.A6.6650.01A"	"S12"	"IS10"
"TCGA.AA.3664.01A"	"S12"	"IS10"
"TCGA.AA.3947.01A"	"S12"	"IS10"
"TCGA.AA.A02W.01A"	"S12"	"IS10"
"TCGA.AD.6965.01A"	"S12"	"IS10"
"TCGA.AF.2692.01A"	"S12"	"IS10"
"TCGA.AF.6655.01A"	"S12"	"IS10"
"TCGA.AG.3592.01A"	"S12"	"IS10"
"TCGA.AG.3742.01A"	"S12"	"IS10"
"TCGA.AG.A02N.01A"	"S12"	"IS10"
"TCGA.AG.A036.01A"	"S12"	"IS10"
"TCGA.AH.6643.01A"	"S12"	"IS10"
"TCGA.AH.6644.01A"	"S12"	"IS10"
"TCGA.AH.6903.01A"	"S12"	"IS10"
"TCGA.AY.5543.01A"	"S12"	"IS10"
"TCGA.AY.6197.01A"	"S12"	"IS10"
"TCGA.AY.A54L.01A"	"S12"	"IS10"
"TCGA.AY.A69D.01A"	"S12"	"IS10"
"TCGA.CA.6719.01A"	"S12"	"IS10"
"TCGA.CK.5912.01A"	"S12"	"IS10"
"TCGA.CK.5914.01A"	"S12"	"IS10"
"TCGA.CL.5917.01A"	"S12"	"IS10"
"TCGA.CM.5863.01A"	"S12"	"IS10"
"TCGA.CM.6161.01A"	"S12"	"IS10"
"TCGA.CM.6164.01A"	"S12"	"IS10"
"TCGA.CM.6170.01A"	"S12"	"IS10"
"TCGA.CM.6676.01A"	"S12"	"IS10"
"TCGA.DC.5869.01A"	"S12"	"IS10"
"TCGA.DC.6157.01A"	"S12"	"IS10"
"TCGA.DC.6681.01A"	"S12"	"IS10"
"TCGA.DC.6683.01A"	"S12"	"IS10"
"TCGA.DM.A1D9.01A"	"S12"	"IS10"
"TCGA.DM.A1DB.01A"	"S12"	"IS10"
"TCGA.DM.A285.01A"	"S12"	"IS10"
"TCGA.EF.5831.01A"	"S12"	"IS10"
"TCGA.EI.6512.01A"	"S12"	"IS10"
"TCGA.EI.6513.01A"	"S12"	"IS10"
"TCGA.EI.6514.01A"	"S12"	"IS10"
"TCGA.EI.6881.01A"	"S12"	"IS10"
"TCGA.F4.6854.01A"	"S12"	"IS10"
"TCGA.F5.6814.01A"	"S12"	"IS10"
"TCGA.G4.6310.01A"	"S12"	"IS10"
"TCGA.NH.A6GC.01A"	"S12"	"IS10"
"TCGA.QL.A97D.01A"	"S12"	"IS10"
"TCGA.T9.A92H.01A"	"S12"	"IS10"
